time,symbol,open,close,high,low,volume,category
2024-12-23,HRL,787.1,795.8,798.6,781.0,52947,stock
2024-12-24,HRL,795.0,802.5,810.0,795.0,63100,stock
2024-12-26,HRL,801.0,800.0,814.0,796.0,54712,stock
2024-12-29,HRL,801.0,796.0,805.0,793.0,57077,stock
2024-12-31,HRL,811.9,790.0,811.9,785.0,69381,stock
2025-01-01,HRL,790.0,793.0,798.0,782.0,48282,stock
2025-01-02,HRL,787.0,791.0,796.8,787.0,61166,stock
2025-01-05,HRL,791.0,794.0,798.0,787.0,56720,stock
2025-01-06,HRL,809.0,815.0,821.0,793.1,81135,stock
2025-01-07,HRL,815.0,825.0,830.0,810.0,98799,stock
2025-01-08,HRL,841.5,825.0,841.5,816.0,61468,stock
2025-01-09,HRL,841.5,814.9,841.5,814.0,72701,stock
2025-01-12,HRL,814.5,800.0,820.0,798.0,75372,stock
2025-01-13,HRL,796.0,790.0,804.0,781.1,128865,stock
2025-01-15,HRL,790.0,791.2,814.0,790.0,74914,stock
2025-01-16,HRL,790.0,788.0,805.0,787.2,68239,stock
2025-01-19,HRL,788.2,792.0,798.8,787.0,56319,stock
2025-01-20,HRL,790.0,818.1,822.9,790.0,166768,stock
2025-01-21,HRL,823.0,838.0,850.0,815.0,166530,stock
2025-01-22,HRL,835.0,876.0,895.9,835.0,366181,stock
2025-01-23,HRL,880.0,859.0,881.0,855.0,195123,stock
2025-01-26,HRL,859.0,863.1,890.1,855.1,212046,stock
2025-01-27,HRL,863.0,832.0,870.0,830.1,282073,stock
2025-01-28,HRL,840.0,848.1,855.0,832.0,161727,stock
2025-02-02,HRL,850.0,880.0,883.0,850.0,317806,stock
2025-02-03,HRL,885.0,866.0,891.0,865.0,211333,stock
2025-02-04,HRL,866.0,868.2,894.0,861.0,243742,stock
2025-02-05,HRL,885.0,874.9,885.0,866.0,149436,stock
2025-02-06,HRL,875.0,863.0,878.0,861.2,98873,stock
2025-02-09,HRL,865.0,856.0,874.9,852.7,91649,stock
2025-02-10,HRL,838.9,847.3,865.0,838.9,114300,stock
2025-02-11,HRL,847.0,853.5,860.0,847.0,75636,stock
2025-02-12,HRL,855.0,849.0,863.0,845.0,92679,stock
2025-02-13,HRL,860.0,844.0,860.0,844.0,80898,stock
2025-02-16,HRL,845.0,848.5,854.0,845.0,78973,stock
2025-02-17,HRL,855.0,876.0,878.0,850.0,175548,stock
2025-02-18,HRL,880.0,936.0,939.0,880.0,893085,stock
2025-02-20,HRL,940.0,934.0,940.0,917.0,411814,stock
2025-02-23,HRL,915.9,982.0,997.0,903.0,990672,stock
2025-02-24,HRL,982.0,990.0,1021.0,972.0,895420,stock
2025-02-25,HRL,1000.0,1025.0,1049.5,985.0,1006425,stock
2025-02-27,HRL,1045.0,1029.9,1070.0,1016.0,925848,stock
2025-03-02,HRL,1045.0,1019.1,1045.0,1004.1,841190,stock
2025-03-03,HRL,1020.0,1092.1,1100.0,1020.0,1295506,stock
2025-03-04,HRL,1113.9,1124.1,1156.0,1095.2,962620,stock
2025-03-05,HRL,1130.0,1115.0,1141.0,1111.0,858970,stock
2025-03-06,HRL,1110.0,1073.0,1129.0,1070.0,1025051,stock
2025-03-09,HRL,1073.0,1046.0,1085.0,1045.0,1062246,stock
2025-03-10,HRL,1050.0,1058.2,1082.0,1046.7,688501,stock
2025-03-11,HRL,1058.1,1018.0,1070.0,1011.0,565743,stock
2025-03-12,HRL,1018.0,1032.1,1040.0,1010.0,545271,stock
2025-03-16,HRL,1043.0,999.0,1043.0,997.0,582670,stock
2025-03-17,HRL,1000.0,984.0,1015.0,981.1,440373,stock
2025-03-18,HRL,984.0,986.0,1007.9,984.0,323111,stock
2025-03-19,HRL,986.0,977.0,996.0,966.3,302680,stock
2025-03-20,HRL,977.0,964.06,986.0,961.0,238596,stock
2025-03-23,HRL,965.1,937.62,966.1,935.1,445109,stock
2025-03-24,HRL,937.0,961.79,969.6,926.0,343205,stock
2025-03-25,HRL,962.0,939.44,962.0,935.1,246173,stock
2025-03-26,HRL,936.0,978.47,989.0,936.0,432277,stock
2025-03-27,HRL,982.0,1019.71,1023.0,975.0,508860,stock
2025-03-30,HRL,1019.0,1040.68,1060.0,1001.0,664401,stock
2025-04-01,HRL,1040.5,1020.6,1053.0,1010.0,627309,stock
2025-04-02,HRL,1041.0,1030.32,1041.0,1019.9,339935,stock
2025-04-03,HRL,1031.0,1058.17,1061.9,1022.0,690450,stock
2025-04-07,HRL,1060.0,1043.62,1075.0,1040.0,475547,stock
2025-04-08,HRL,1064.4,1039.66,1064.4,1016.1,394776,stock
2025-04-09,HRL,1038.0,1042.96,1054.7,1036.2,262170,stock
2025-04-10,HRL,1045.0,1029.73,1059.0,1027.1,295013,stock
2025-04-13,HRL,1029.7,1011.41,1040.0,1010.0,386237,stock
2025-04-15,HRL,1011.0,1024.49,1043.0,1011.0,302559,stock
2025-04-16,HRL,1030.0,1013.75,1039.9,1011.0,239943,stock
2025-04-17,HRL,1024.0,1014.93,1035.0,1008.9,343856,stock
2025-04-20,HRL,1025.0,1004.34,1030.0,1000.1,184072,stock
2025-04-21,HRL,1018.9,992.53,1018.9,986.0,273169,stock
2025-04-22,HRL,991.0,1019.22,1029.0,981.2,363512,stock
2025-04-23,HRL,1030.0,997.65,1030.0,994.7,226087,stock
2025-04-24,HRL,997.1,993.28,1002.9,988.0,154580,stock
2025-04-27,HRL,973.7,991.68,1015.0,973.7,255626,stock
2025-04-28,HRL,992.0,988.92,1014.0,985.0,198358,stock
2025-04-29,HRL,1000.0,975.57,1001.0,975.0,137163,stock
2025-04-30,HRL,980.0,966.71,985.0,965.0,198528,stock
2025-05-04,HRL,971.4,977.22,993.9,971.4,204080,stock
2025-05-05,HRL,980.0,970.69,988.0,970.0,144708,stock
2025-05-06,HRL,970.0,952.37,980.0,950.1,228694,stock
2025-05-07,HRL,952.5,969.98,977.0,939.0,215278,stock
2025-05-08,HRL,980.0,951.12,980.0,950.0,120454,stock
2025-05-11,HRL,952.0,935.4,963.0,935.0,155620,stock
2025-05-13,HRL,940.0,936.66,946.9,936.0,125152,stock
2025-05-14,HRL,932.0,962.44,980.0,932.0,277641,stock
2025-05-15,HRL,963.0,943.89,970.0,941.2,111582,stock
2025-05-18,HRL,949.0,988.35,990.0,940.0,432150,stock
2025-05-19,HRL,998.0,989.05,1015.0,985.0,410263,stock
2025-05-20,HRL,989.0,999.53,1004.7,976.1,178194,stock
2025-05-21,HRL,1019.5,987.49,1038.0,983.0,371290,stock
2025-05-22,HRL,995.0,975.71,995.0,970.0,246597,stock
2025-05-25,HRL,950.0,939.93,955.0,937.8,151263,stock
2025-05-26,HRL,958.7,936.14,960.0,933.1,161302,stock
2025-05-27,HRL,935.0,935.32,942.8,928.0,89001,stock
2025-05-28,HRL,954.0,936.18,954.0,932.0,108795,stock
2025-06-02,HRL,954.9,947.07,958.0,944.0,170214,stock
2025-06-03,HRL,930.0,935.87,966.0,930.0,96404,stock
2025-06-04,HRL,936.0,930.61,944.0,925.0,119150,stock
